logical_run_id,family_id,seed,horizon_steps,gpu_count,threshold_fid,first_step,first_fid,wallclock_seconds,wallclock_hours,gpu_hours,reached,walltime_source
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,60,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K25:seed1:h300000,ddp_P1_terminal_K25,1,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,100,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,90,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,80,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,70,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,65,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,60,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:ddp_P1_terminal_K50:seed1:h300000,ddp_P1_terminal_K50,1,300000,4,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,100,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,90,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,80,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,70,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,65,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,60,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_deepest:seed1:h300000,pipe_P16_deepest,1,300000,16,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,100,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,90,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,80,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,70,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,65,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,60,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P16_equal:seed1:h300000,pipe_P16_equal,1,300000,16,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,100,15000,98.664594145,891.250000,0.247569,0.495139,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,90,30000,87.536180289,1782.500000,0.495139,0.990278,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,80,70000,72.379413962,4159.166667,1.155324,2.310648,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,70,110000,68.530755376,6535.833333,1.815509,3.631019,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,65,130000,62.639303693,7724.166667,2.145602,4.291204,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,60,200000,57.940764575,11883.333333,3.300926,6.601852,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,55,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_deepest:seed1:h300000,pipe_P2_deepest,1,300000,2,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,100,15000,91.117105162,885.600000,0.246000,0.492000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,90,25000,77.610350326,1476.000000,0.410000,0.820000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,80,25000,77.610350326,1476.000000,0.410000,0.820000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,70,30000,58.366791887,1771.200000,0.492000,0.984000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,65,30000,58.366791887,1771.200000,0.492000,0.984000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,60,30000,58.366791887,1771.200000,0.492000,0.984000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,55,290000,54.251033095,17121.600000,4.756000,9.512000,yes,linear_interpolation_from_job_info_successful_attempt_total
current_cifar_paper:cifar10:pipe_P2_equal:seed1:h300000,pipe_P2_equal,1,300000,2,50,,,,,,no,linear_interpolation_from_job_info_successful_attempt_total
