ledger,phase_group,family_id,logical_run_id,benchmark,regime,stage_count,weighting,K,horizon_steps,seed,paper_role,points_count,fid_points_count,final_step,final_fid_inception,best_step,best_fid_inception,train_walltime_seconds,train_walltime_hours,train_walltime_days,gpu_count,train_gpu_hours,walltime_source,canonical_run_dir
current_cifar_paper,O4,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed1:h500000,cifar10,single_emulation,2,deepest,100,500000,1,headline,100,100,500000,64.3579003847,425000,54.5736176398,50690,14.080556,0.586690,1,14.080556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_deep_K100_seed1_500k_20260409_132633
current_cifar_paper,O3,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed2:h300000,cifar10,single_emulation,2,deepest,100,300000,2,headline,60,60,300000,62.258043298,285000,54.5980979086,30396,8.443333,0.351806,1,8.443333,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed2_300k_20260409_132633
current_cifar_paper,O4,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed2:h500000,cifar10,single_emulation,2,deepest,100,500000,2,headline,100,100,500000,76.3035429301,495000,55.5207158835,48890,13.580556,0.565856,1,13.580556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_deep_K100_seed2_500k_resume_20260415_152638
current_cifar_paper,O3,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed3:h300000,cifar10,single_emulation,2,deepest,100,300000,3,headline,60,60,300000,67.0678360296,195000,57.253352108,30656,8.515556,0.354815,1,8.515556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_deep_K100_seed3_300k_20260409_132633
current_cifar_paper,O4,single_P2_deepest,current_cifar_paper:cifar10:single_P2_deepest:seed3:h500000,cifar10,single_emulation,2,deepest,100,500000,3,headline,100,100,500000,62.7761360286,370000,56.4437146149,50663,14.073056,0.586377,1,14.073056,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_deep_K100_seed3_500k_20260412_143208
current_cifar_paper,O1,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed1:h300000,cifar10,single_emulation,2,equal,100,300000,1,control,60,60,300000,65.8604504669,280000,53.7486292737,30579,8.494167,0.353924,1,8.494167,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O1/O1_single_pipe_emul_P2_uniform_K100_seed1_300k_20260406_214845
current_cifar_paper,O4,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed1:h500000,cifar10,single_emulation,2,equal,100,500000,1,headline,100,100,500000,60.6540713758,115000,52.3846535322,51037,14.176944,0.590706,1,14.176944,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed1_500k_20260409_132633
current_cifar_paper,O3,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed2:h300000,cifar10,single_emulation,2,equal,100,300000,2,headline,60,60,300000,61.6393809746,220000,55.2784708719,30683,8.523056,0.355127,1,8.523056,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed2_300k_20260409_132633
current_cifar_paper,O4,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed2:h500000,cifar10,single_emulation,2,equal,100,500000,2,headline,100,100,500000,72.8190815534,370000,55.1322855791,50834,14.120556,0.588357,1,14.120556,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O4/O4_single_pipe_emul_P2_uniform_K100_seed2_500k_20260412_143208
current_cifar_paper,O3,single_P2_equal,current_cifar_paper:cifar10:single_P2_equal:seed3:h300000,cifar10,single_emulation,2,equal,100,300000,3,headline,60,60,300000,64.3401252596,195000,56.0616477529,30689,8.524722,0.355197,1,8.524722,linear_interpolation_from_job_info_successful_attempt_total,/eagle/lc-mpi/Zhiqing/polaris_ebm/runs_objective_first_followup/O3/O3_single_pipe_emul_P2_uniform_K100_seed3_300k_20260409_132633
